tag,lookback,skip,top_n,rebalance,start,end,capital,total,cagr,sharpe,max_drawdown,turnover,commission,impact,ran_at
net,63,21,50,5,2015-01-02,2025-12-31,10000000.0,0.8747110504212643,0.05894896055379428,0.38274429302375695,-0.3774589433504475,32.43306749388833,327861.02499999927,3288051.346584553,2026-08-29T18:02:45+00:00
net,63,21,50,21,2015-01-02,2025-12-31,10000000.0,1.3032547438524893,0.07900528616229407,0.46997034389338777,-0.40954654166021953,15.572998703959552,185424.77499999985,2135798.967752368,2026-08-29T18:04:05+00:00
net,63,21,50,42,2015-01-02,2025-12-31,10000000.0,2.093540251663189,0.10840829305387945,0.6083493513819535,-0.4049275858858917,10.313909013598138,122416.06000000011,1483930.6747263754,2026-08-29T18:04:48+00:00
net,63,21,50,63,2015-01-02,2025-12-31,10000000.0,2.0230951476755448,0.10608375428310035,0.5801902690019828,-0.37039889935330494,6.6515295158583845,87823.8350000003,1018013.6794364849,2026-08-29T18:05:18+00:00
net,126,21,50,5,2015-01-02,2025-12-31,10000000.0,1.8985821059294432,0.10185195148931925,0.5719891144673969,-0.4018723618281389,21.90220289687751,230113.2100000003,2664938.417632115,2026-08-29T18:10:14+00:00
net,126,21,50,21,2015-01-02,2025-12-31,10000000.0,2.200816636349651,0.11185738539880052,0.6112028063949971,-0.39630823188273734,10.608183882861372,120405.20999999964,1502537.887641197,2026-08-29T18:11:29+00:00
net,126,21,50,42,2015-01-02,2025-12-31,10000000.0,2.405072046064309,0.1181436128377833,0.6336845685560311,-0.3723278415047815,6.923915350818202,81601.70000000004,1034399.5304713629,2026-08-29T18:12:09+00:00
net,126,21,50,63,2015-01-02,2025-12-31,10000000.0,2.9883806850338184,0.1343736927132,0.7083623849435807,-0.3450536710416445,5.351280524729719,65543.27999999991,884543.895533221,2026-08-29T18:12:37+00:00
net,189,21,50,5,2015-01-02,2025-12-31,10000000.0,1.997217855667035,0.10521747940310999,0.5870085121085264,-0.3557002974393002,17.236452379992148,177795.4749999991,2241702.076606978,2026-08-29T18:17:25+00:00
net,189,21,50,21,2015-01-02,2025-12-31,10000000.0,2.5694541100048207,0.12295850472480163,0.6621869853476939,-0.3377237393775312,8.685656697307001,100740.78499999964,1365762.0406735777,2026-08-29T18:18:38+00:00
net,189,21,50,42,2015-01-02,2025-12-31,10000000.0,3.0791330763084535,0.1367021784310769,0.7252444094695875,-0.34707452112528503,5.927205775506261,66229.97999999995,995474.3634064313,2026-08-29T18:19:17+00:00
net,189,21,50,63,2015-01-02,2025-12-31,10000000.0,3.3040968806781246,0.14227725058387541,0.7507947302767483,-0.34908140955912215,4.398774265403461,49680.26499999988,716338.3979873494,2026-08-29T18:19:44+00:00
net,252,21,50,5,2015-01-02,2025-12-31,10000000.0,1.7964354863049579,0.09825508485486534,0.5548163961498007,-0.37407153544108696,14.357435743273612,119786.09999999986,1508349.8229936913,2026-08-29T18:24:26+00:00
net,252,21,50,21,2015-01-02,2025-12-31,10000000.0,1.9753678401112875,0.1044807132814276,0.5771927843625712,-0.3706176055598914,7.329374261915826,65056.69500000002,808519.2918687427,2026-08-29T18:25:37+00:00
net,252,21,50,42,2015-01-02,2025-12-31,10000000.0,1.643760363538243,0.0926498245551477,0.5225727170418033,-0.379424335996979,4.81798199606456,40504.59000000006,482572.51487477135,2026-08-29T18:26:14+00:00
net,252,21,50,63,2015-01-02,2025-12-31,10000000.0,2.017380337442959,0.1058930252597996,0.5783362804742848,-0.37572686115697085,3.76857590597892,35327.18000000003,427550.0656020392,2026-08-29T18:26:39+00:00
net,252,21,20,21,2015-01-02,2025-12-31,10000000.0,2.038582092682265,0.10659898107395072,0.5286543802827495,-0.38652130479128266,7.898005536979309,68113.44499999992,1328062.986327889,2026-08-29T18:27:09+00:00
net,252,21,50,21,2015-01-02,2025-12-31,10000000.0,1.9753678401112875,0.1044807132814276,0.5771927843625712,-0.3706176055598914,7.329374261915826,65056.69500000002,808519.2918687427,2026-08-29T18:28:19+00:00
net,252,21,100,21,2015-01-02,2025-12-31,10000000.0,2.24217025261325,0.11315896511517676,0.6683320906945706,-0.3615329900250217,5.768683022307471,56265.939999999806,528168.9391178415,2026-08-29T18:30:45+00:00
net,252,21,150,21,2015-01-02,2025-12-31,10000000.0,1.9583115150302648,0.10390216134354291,0.6457423332128801,-0.36874131967262225,4.578565319719224,45688.31500000013,320431.2694304959,2026-08-29T18:34:37+00:00
net,252,21,50,21,2015-01-02,2025-12-31,100000.0,1.8001764185820228,0.09838890447719839,0.5721374542472338,-0.3555779488529368,7.026294883025875,5552.095000000001,737.9368018580994,2026-08-30T22:57:57+00:00
gross,252,21,50,21,2015-01-02,2025-12-31,100000.0,1.9260004020040804,0.10279780493717006,0.5914461101276586,-0.35691695336361207,7.037468564968473,0.0,0.0,2026-08-30T22:58:57+00:00
net,252,21,50,21,2015-01-02,2025-12-31,1000000.0,2.054854819376629,0.10713778458637457,0.5906576315078638,-0.36906810432536463,7.307594920199569,8928.99000000001,26032.777018215485,2026-08-30T23:00:00+00:00
gross,252,21,50,21,2015-01-02,2025-12-31,1000000.0,2.131566328580987,0.10964315130440094,0.6013925942418475,-0.3689433872553325,7.310972202367197,0.0,0.0,2026-08-30T23:01:05+00:00
gross,252,21,50,21,2015-01-02,2025-12-31,10000000.0,2.1490212261282595,0.110205423870392,0.6019064874376443,-0.3701991024765613,7.33396744797694,0.0,0.0,2026-08-30T23:02:17+00:00
net,252,21,50,21,2015-01-02,2025-12-31,100000000.0,1.6909041900299933,0.09441137574100655,0.5331616517650947,-0.3717206582707887,7.322844640341734,614787.3349999986,23409090.504184466,2026-08-30T23:03:24+00:00
gross,252,21,50,21,2015-01-02,2025-12-31,100000000.0,2.1504183199879847,0.110250305767158,0.601912396224114,-0.37030731786270776,7.3368712166011525,0.0,0.0,2026-08-30T23:04:29+00:00
net,252,21,50,21,2015-01-02,2025-12-31,1000000000.0,1.3638508360408892,0.08156207234415458,0.47809383970476527,-0.3768228398155061,6.2891730244402515,4752615.660000003,456726833.7269468,2026-08-30T23:06:34+00:00
gross,252,21,50,21,2015-01-02,2025-12-31,1000000000.0,2.1508949241544375,0.11026561262546841,0.6019659632007208,-0.370318357404654,7.337010528468342,0.0,0.0,2026-08-30T23:07:39+00:00
spread0bp,252,21,50,21,2015-01-02,2025-12-31,10000000.0,1.9860151046720929,0.1048403431211915,0.5787388485782469,-0.37054898974516104,7.3289863963435256,65157.574999999946,810967.861320898,2026-08-30T23:40:50+00:00
spread2bp,252,21,50,21,2015-01-02,2025-12-31,10000000.0,1.9657039546807766,0.10415328475770647,0.5757803413194396,-0.3706411767115726,7.328660993884367,64940.80499999993,806096.5346969721,2026-08-30T23:42:02+00:00
spread5bp,252,21,50,21,2015-01-02,2025-12-31,10000000.0,1.9308855984307915,0.10296548432095887,0.5706251507158706,-0.3707633517834106,7.327854136218381,64594.61499999996,798096.3111791083,2026-08-30T23:43:15+00:00
